JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2458143.710	14.701			V	PYG		4		FIORUCCI TOSTI & SMI	COAST	0		Z	14.18			OJ 287	BAA-VSS	STD				
2458144.384288	14.492	0.107		CV	HKEB		ENSEMBLE	000-BBQ-061	15545BEK	OTHER	1	2.111	Z		13.612		OJ 287	AAVSO	STD				
2458144.653	15.258			B	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	15.01			OJ 287	BAA-VSS	STD				
2458144.659	14.708			V	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	14.18			OJ 287	BAA-VSS	STD				
2458144.664	14.345			SR	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	13.74			OJ 287	BAA-VSS	STD				
2458144.732	14.716			V	PYG		4		FIORUCCI TOSTI & SMI	COAST	0		Z	14.18			OJ 287	BAA-VSS	STD				
2458144.735	14.330			R	PYG		4		FIORUCCI TOSTI & SMI	COAST	0		Z	13.74			OJ 287	BAA-VSS	STD				
2458145.654	15.028			B	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	15.01			OJ 287	BAA-VSS	STD				
2458145.662	14.549			V	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	14.18			OJ 287	BAA-VSS	STD				
2458145.665	14.211			SR	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	13.74			OJ 287	BAA-VSS	STD				
2458146.414352	14.616	0.005		V	DAM		146		X15649LOX		0		Z	12.996			OJ 287	AAVSO	STD				
2458146.428595	14.599	0.029		V	ATE		NA	146	X16659HL		0	1.256	Z		14.633	2458146.43427	OJ 287	AAVSO	STD				
2458146.591782	14.639	0.005		V	DAM		146		X15649LOX		0		Z	12.906			OJ 287	AAVSO	STD				
2458146.680	14.982			B	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	15.01			OJ 287	BAA-VSS	STD				
2458146.686	14.582			V	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	14.18			OJ 287	BAA-VSS	STD				
2458146.690	14.210			SR	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	13.74			OJ 287	BAA-VSS	STD				
2458146.9	14.8			Vis.	MOW		146	149	10317DOG				Z				OJ 287	AAVSO	STD				
2458147.338484	14.500	0.011		V	DAM		146		X15649LOX		0		Z	13.250			OJ 287	AAVSO	STD				
2458147.453070	14.523	0.009		V	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.127	Z	-13.498	14.613	2458147.45875	OJ 287	AAVSO	STD				
2458147.465060	14.092	0.007		R	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.106	Z	-14.021	14.291	2458147.47074	OJ 287	AAVSO	STD				
2458147.477050	14.813	0.009		SG	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.091	Z	-13.424	14.899	2458147.48273	OJ 287	AAVSO	STD				
2458147.489050	14.325	0.008		SR	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.081	Z	-13.949	14.505	2458147.49473	OJ 287	AAVSO	STD				
2458147.501110	14.031	0.009		SI	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.075	Z	-13.453	14.410	2458147.50679	OJ 287	AAVSO	STD				
2458148.47976	14.561	0.027		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2458148.48192	14.59	0.031		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2458148.48287	14.388	0.031		R	PXR				SEE COMMENTS	BAA VSS 251.02 + APASS; LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2458148.4836	14.518	0.048		R	PXR				SEE COMMENTS	BAA VSS 251.02 + APASS; LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2458148.48576	14.404	0.061		R	PXR				SEE COMMENTS	BAA VSS 251.02 + APASS; LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2458150.39404	14.483	0.065		V	RZD		ENSEMBLE		X22669ARM		0	1.395	Z				OJ 287	AAVSO	STD				
2458150.39502	14.512	0.085		V	RZD		ENSEMBLE		X22669ARK		0	1.395	Z				OJ 287	AAVSO	STD				
2458151.41813	14.665	0.039		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2458151.41885	14.551	0.04		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2458151.42102	14.558	0.026		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2458151.42174	14.604	0.026		V	PXR				BAA VSS 251.02	LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2458151.42464	14.346	0.011		R	PXR				SEE COMMENTS	BAA VSS 251.02 + APASS; LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2458151.42536	14.398	0.019		R	PXR				SEE COMMENTS	BAA VSS 251.02 + APASS; LX200-14			Z				OJ 287	BAA-VSS	STD				BAAVSS
2458151.455699	14.471	0.026		V	AFSA		NA	000-BLX-797	X22962I		0	1.119	Z		13.327	2458151.46138	OJ 287	AAVSO	STD				
2458151.456419	14.618	0.028		V	AFSA		NA	000-BLX-797	X22962I		0	1.117	Z		13.327	2458151.46210	OJ 287	AAVSO	STD				
2458151.457119	14.738	0.029		V	AFSA		NA	000-BLX-797	X22962I		0	1.115	Z		13.327	2458151.46280	OJ 287	AAVSO	STD				
2458152.33581	14.646	0.007		V	DAM		146		X15649LOX		0		Z	13.265			OJ 287	AAVSO	STD				
2458152.394853	14.613	0.010		V	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.259	Z	-13.346	14.610	2458152.40053	OJ 287	AAVSO	STD				
2458152.435493	14.661	0.015		V	ATE		NA	146	X16659HL		0	1.175	Z		14.635	2458152.44117	OJ 287	AAVSO	STD				
2458152.479073	14.638	0.009		V	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.079	Z	-13.569	14.617	2458152.48475	OJ 287	AAVSO	STD				
2458152.491053	14.195	0.007		R	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.075	Z	-14.080	14.305	2458152.49673	OJ 287	AAVSO	STD				
2458152.503033	14.918	0.009		SG	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.075	Z	-13.504	14.902	2458152.50871	OJ 287	AAVSO	STD				
2458152.515023	14.443	0.008		SR	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.080	Z	-14.021	14.517	2458152.52070	OJ 287	AAVSO	STD				
2458152.527003	14.148	0.009		SI	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.091	Z	-13.543	14.411	2458152.53268	OJ 287	AAVSO	STD				
2458152.539043	14.631	0.009		V	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.106	Z	-13.617	14.618	2458152.54472	OJ 287	AAVSO	STD				
2458152.551034	14.197	0.007		R	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.126	Z	-14.097	14.288	2458152.55671	OJ 287	AAVSO	STD				
2458152.563024	14.914	0.009		SG	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.152	Z	-13.486	14.896	2458152.56870	OJ 287	AAVSO	STD				
2458152.575014	14.438	0.008		SR	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.184	Z	-14.019	14.517	2458152.58069	OJ 287	AAVSO	STD				
2458152.586994	14.152	0.009		SI	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.224	Z	-13.530	14.405	2458152.59267	OJ 287	AAVSO	STD				
2458152.600874	14.628	0.009		V	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.280	Z	-13.527	14.622	2458152.60655	OJ 287	AAVSO	STD				
2458153.901	15.137			B	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	15.01			OJ 287	BAA-VSS	STD				
2458153.907	14.600			V	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	14.18			OJ 287	BAA-VSS	STD				
2458153.911	14.291			SR	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	13.74			OJ 287	BAA-VSS	STD				
2458155.33403	14.5			CV	WKL				1071aobl		0		Z	14.6	14.9		OJ 287	BAV	STD				
2458155.424034	14.481	0.114		CV	HKEB		ENSEMBLE	000-BBQ-061	15545BEK	OTHER	1	1.301	Z		13.629		OJ 287	AAVSO	STD				
2458156.635	15.010			B	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	15.01			OJ 287	BAA-VSS	STD				
2458156.642	14.660			V	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	14.18			OJ 287	BAA-VSS	STD				
2458156.647	14.299			SR	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	13.74			OJ 287	BAA-VSS	STD				
2458157.375578	14.638	0.016		V	ATE		NA	146	X16659HL		0	1.371	Z		14.608	2458157.38121	OJ 287	AAVSO	STD				
2458157.40477	14.713	0.060		V	RZD		ENSEMBLE		X22685GMM		0	1.234	Z				OJ 287	AAVSO	STD				
2458157.7	14.7			Vis.	MOW		146	149	10317DOG				Z				OJ 287	AAVSO	STD				
2458158.612	15.124			B	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	15.01			OJ 287	BAA-VSS	STD				
2458158.618	14.655			V	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	14.18			OJ 287	BAA-VSS	STD				
2458158.622	14.236			SR	PYG		4		FIORUCCI TOSTI & SMI	SRO-50	0		Z	13.74			OJ 287	BAA-VSS	STD				
2458158.695341	14.350	0.082		CV	HKEB		ENSEMBLE	000-BBQ-061	15545BEK	OTHER	1	1.659	Z		13.531		OJ 287	AAVSO	STD				
2458159.42015	14.633	0.037		V	DAM		146		X15649LOX		0		Z	13.979			OJ 287	AAVSO	STD				
2458159.442	14.7			Vis.	PYG		S-1		251.02				Z				OJ 287	BAA-VSS	STD				
2458159.497	14.3			Vis.	TOO				251.02	SCT355			Z				OJ 287	BAA-VSS	STD				BAAVSS
2458160.386366	14.749	0.006		V	DAM		146		X15649LOX		0		Z	13.371			OJ 287	AAVSO	STD				
2458160.424628	14.720	0.009		V	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.114	Z	-13.594	14.615	2458160.43021	OJ 287	AAVSO	STD				
2458160.436638	14.304	0.008		R	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.097	Z	-14.104	14.300	2458160.44222	OJ 287	AAVSO	STD				
